pathparam,level,date
1,details,2026-01-02
2,verbose,2026-01-03
3,summary,2026-01-04
4,details,2026-01-05
5,verbose,2026-01-06
6,summary,2026-01-07
7,details,2026-01-08
8,verbose,2026-01-09
9,summary,2026-01-10
10,details,2026-01-11
11,verbose,2026-01-12
12,summary,2026-01-13
13,details,2026-01-14
14,verbose,2026-01-15
15,summary,2026-01-16
16,details,2026-01-17
17,verbose,2026-01-18
18,summary,2026-01-19
19,details,2026-01-20
20,verbose,2026-01-21
21,summary,2026-01-22
22,details,2026-01-23
23,verbose,2026-01-24
24,summary,2026-01-25
25,details,2026-01-26
26,verbose,2026-01-27
27,summary,2026-01-28
28,details,2026-01-29
29,verbose,2026-01-30
30,summary,2026-01-31
31,details,2026-02-01
32,verbose,2026-02-02
33,summary,2026-02-03
34,details,2026-02-04
35,verbose,2026-02-05
36,summary,2026-02-06
37,details,2026-02-07
38,verbose,2026-02-08
39,summary,2026-02-09
40,details,2026-02-10
41,verbose,2026-02-11
42,summary,2026-02-12
43,details,2026-02-13
44,verbose,2026-02-14
45,summary,2026-02-15
46,details,2026-02-16
47,verbose,2026-02-17
48,summary,2026-02-18
49,details,2026-02-19
50,verbose,2026-02-20
51,summary,2026-02-21
52,details,2026-02-22
53,verbose,2026-02-23
54,summary,2026-02-24
55,details,2026-02-25
56,verbose,2026-02-26
57,summary,2026-02-27
58,details,2026-02-28
59,verbose,2026-03-01
60,summary,2026-03-02
61,details,2026-03-03
62,verbose,2026-03-04
63,summary,2026-03-05
64,details,2026-03-06
65,verbose,2026-03-07
66,summary,2026-03-08
67,details,2026-03-09
68,verbose,2026-03-10
69,summary,2026-03-11
70,details,2026-03-12
71,verbose,2026-03-13
72,summary,2026-03-14
73,details,2026-03-15
74,verbose,2026-03-16
75,summary,2026-03-17
76,details,2026-03-18
77,verbose,2026-03-19
78,summary,2026-03-20
79,details,2026-03-21
80,verbose,2026-03-22
81,summary,2026-03-23
82,details,2026-03-24
83,verbose,2026-03-25
84,summary,2026-03-26
85,details,2026-03-27
86,verbose,2026-03-28
87,summary,2026-03-29
88,details,2026-03-30
89,verbose,2026-03-31
90,summary,2026-04-01
91,details,2026-04-02
92,verbose,2026-04-03
93,summary,2026-04-04
94,details,2026-04-05
95,verbose,2026-04-06
96,summary,2026-04-07
97,details,2026-04-08
98,verbose,2026-04-09
99,summary,2026-04-10
100,details,2026-04-11
